username,repo_name,stars,repo_url
Genymobile,scrcpy,50900,https://github.com/Genymobile/scrcpy
neovim,neovim,44800,https://github.com/neovim/neovim
git,git,38400,https://github.com/git/git
fffaraz,awesome-cpp,32000,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,29600,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,26300,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,25200,https://github.com/FFmpeg/FFmpeg
vim,vim,24100,https://github.com/vim/vim
ggreer,the_silver_searcher,22200,https://github.com/ggreer/the_silver_searcher
curl,curl,21100,https://github.com/curl/curl
huihut,interview,19100,https://github.com/huihut/interview
ruby,ruby,18200,https://github.com/ruby/ruby
google,flatbuffers,16400,https://github.com/google/flatbuffers
oracle,graal,15400,https://github.com/oracle/graal
mpv-player,mpv,15300,https://github.com/mpv-player/mpv
pbatard,rufus,15100,https://github.com/pbatard/rufus
radareorg,radare2,14500,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14400,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,13400,https://github.com/allinurl/goaccess
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
microsoft,vcpkg,13100,https://github.com/microsoft/vcpkg
facebook,infer,12400,https://github.com/facebook/infer
jarun,nnn,11700,https://github.com/jarun/nnn
kovidgoyal,kitty,11600,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,11500,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,10300,https://github.com/s-matyukevich/raspberry-pi-os
jonas,tig,10100,https://github.com/jonas/tig
hashcat,hashcat,10100,https://github.com/hashcat/hashcat
qmk,qmk_firmware,9900,https://github.com/qmk/qmk_firmware
TheAlgorithms,C,9700,https://github.com/TheAlgorithms/C
